smiles,mwt,logp_rdkit,qed,sascore,hba(NO),hbd(NHOH),plogp,cycle_score,heavy_atom_count
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCC(C)C,86.109550448,2.442500000000001,0.4838902980848686,1.8933213175169303,0,0,-1.5095032453536987,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCC(C)(C)C,86.109550448,2.442500000000001,0.4244820558666797,1.9944749269843864,0,0,-1.6296700239181519,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CCC(C)CC,86.109550448,2.442500000000001,0.4838902980848686,2.143632086747699,0,0,-1.5095032453536987,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
CC(C)C(C)C,86.109550448,2.2984,0.4590282783168001,1.6284795296773282,0,0,-1.4688843488693237,0,6
CCCCCC,86.109550448,2.5866000000000007,0.4629542813199688,1.2090305482861616,0,0,-1.5501221418380737,0,6
